Starting to capture data
{"timestamp": 1715587473, "value": 66}
{"timestamp": 1715587475, "value": 16}
{"timestamp": 1715587477, "value": 49}
{"timestamp": 1715587479, "value": 74}
{"timestamp": 1715587481, "value": 50}
{"timestamp": 1715587483, "value": 90}
{"timestamp": 1715587505, "value": 87}
{"timestamp": 1715587507, "value": 18}
{"timestamp": 1715587509, "value": 5}
{"timestamp": 1715587511, "value": 92}
{"timestamp": 1715587513, "value": 89}
{"timestamp": 1715587515, "value": 16}
{"timestamp": 1715587517, "value": 11}
{"timestamp": 1715587519, "value": 44}
{"timestamp": 1715587521, "value": 87}
{"timestamp": 1715587523, "value": 63}
{"timestamp": 1715587525, "value": 95}
{"timestamp": 1715587527, "value": 84}
{"timestamp": 1715587529, "value": 71}
{"timestamp": 1715587531, "value": 78}
{"timestamp": 1715587533, "value": 78}
{"timestamp": 1715587535, "value": 23}
{"timestamp": 1715587537, "value": 32}
{"timestamp": 1715587539, "value": 32}
{"timestamp": 1715587541, "value": 39}
{"timestamp": 1715587543, "value": 59}
{"timestamp": 1715587545, "value": 70}
{"timestamp": 1715587547, "value": 64}
{"timestamp": 1715587549, "value": 52}
{"timestamp": 1715587551, "value": 18}
{"timestamp": 1715587553, "value": 80}
{"timestamp": 1715587555, "value": 17}
{"timestamp": 1715587557, "value": 58}
{"timestamp": 1715587559, "value": 62}
{"timestamp": 1715587561, "value": 24}
{"timestamp": 1715587563, "value": 40}
{"timestamp": 1715587565, "value": 33}
{"timestamp": 1715587567, "value": 98}
{"timestamp": 1715587569, "value": 40}
{"timestamp": 1715587571, "value": 92}
{"timestamp": 1715587573, "value": 44}
{"timestamp": 1715587575, "value": 41}
{"timestamp": 1715587577, "value": 45}
{"timestamp": 1715587579, "value": 48}
{"timestamp": 1715587581, "value": 83}
{"timestamp": 1715587583, "value": 93}
{"timestamp": 1715587585, "value": 73}
{"timestamp": 1715587587, "value": 100}
{"timestamp": 1715587589, "value": 62}
{"timestamp": 1715587591, "value": 62}
{"timestamp": 1715587593, "value": 60}
{"timestamp": 1715587595, "value": 23}
{"timestamp": 1715587597, "value": 43}
{"timestamp": 1715587599, "value": 29}
